Year,Cohort,Female,Male,Total,Year
1957   84,1873,7957.56     7,51.78,15009.34,1957
1957   84,1872,8275.47     7,244.89,15520.36,1957
1957   85,1872,7454.51     6,388.11,13842.62,1957
1957   85,1871,7617.05     6,417.66,14034.71,1957
1957   86,1871,6820.56     5,418.69,12239.25,1957
1957   86,1870,6969.27     5,443.76,12413.03,1957
1957   87,1870,6252.92     5,103.2,11356.12,1957
1957   87,1869,6389.26     5,126.81,11516.07,1957
1957   88,1869,5118.64     3,880.19,8998.83,1957
1957   88,1868,5230.24     3,898.14,9128.38,1957
1957   89,1868,4422.33     3,331.58,7753.91,1957
1957   89,1867,4518.75     3,346.99,7865.74,1957
1957   90,1867,3966.39     2,768.15,6734.54,1957
1957   90,1866,3933.09     2,696.6,6629.69,1957
1957   91,1866,3035.96     2,93.98,5129.94,1957
1957   91,1865,3010.47     2,39.86,5050.33,1957
1957   92,1865,2461.22     1,606.35,4067.57,1957
1957   92,1864,2440.56     1,564.83,4005.39,1957
1957   93,1864,1924.17     1,202.35,3126.52,1957
1957   93,1863,1908.01     1,171.28,3079.29,1957
1957   94,1863,1502.66,962.08,2464.74,1957
1957   94,1862,1490.04,937.22,2427.26,1957
1957   95,1862,1257.45,709.09,1966.54,1957
1957   95,1861,1198.95,657.84,1856.79,1957
1957   96,1861,942.96,550.25,1493.21,1957
1957   96,1860,899.09,510.48,1409.57,1957
1957   97,1860,686.35,367.01,1053.36,1957
1957   97,1859,654.42,340.48,994.9,1957
1957   98,1859,436.91,231.52,668.43,1957
1957   98,1858,416.58,214.79,631.37,1957
1957   99,1858,274.54,152.1,426.64,1957
1957   99,1857,261.77,141.1,402.87,1957
1957  100,1857,204.52,113.68,318.2,1957
1957  100,1856,179.7,94.47,274.17,1957
1957  101,1856,127.83,62.3,190.13,1957
1957  101,1855,112.31,51.77,164.08,1957
1957  102,1855,88.95,55.75,144.7,1957
1957  102,1854,78.15,46.32,124.47,1957
1957  103,1854,51.66,30.61,82.27,1957
1957  103,1853,45.39,25.43,70.82,1957
1957  104,1853,39.95,15.3,55.25,1957
1957  104,1852,35.1,12.72,47.82,1957
1957  105,1852,24.5,19.13,43.63,1957
1957  105,1851,21.53,15.9,37.43,1957
1957  106,1851,20.24,16.4,36.64,1957
1957  106,1850,17.78,13.62,31.4,1957
1957  107,1850,14.38,7.1,21.48,1957
1957  107,1849,12.63,5.9,18.53,1957
1957  108,1849,7.46,3.28,10.74,1957
1957  108,1848,6.55,2.72,9.27,1957
1957  109,1848,10.12,4.92,15.04,1957
1957  109,1847,8.89,4.09,12.98,1957
1957  110+,.,56.02,21.01,77.03,1957
1958    0,1958,39358.97    51,868.54,91227.51,1958
1958    0,1957,9316.91    13,171.98,22488.89,1958
1958 1,1957,1897.91     2,143.82,4041.73,1958
1958 1,1956,1534.90     1,738.7,3273.6,1958
1958 2,1956,1032.82     1,288.99,2321.81,1958
1958 2,1955,911.93     1,151.45,2063.38,1958
1958 3,1955,767.76,955.94,1723.7,1958
1958 3,1954,688.31,866.89,1555.2,1958
1958 4,1954,626.71,734.63,1361.34,1958
1958 4,1953,552.54,656.48,1209.02,1958
1958 5,1953,501.82,627.78,1129.6,1958
1958 5,1952,468.65,578.67,1047.32,1958
1958 6,1952,421.47,572.64,994.11,1958
1958 6,1951,390.17,524.76,914.93,1958
1958 7,1951,359.13,526.43,885.56,1958
1958 7,1950,325.55,473.03,798.58,1958
1958 8,1950,303.01,471.82,774.83,1958
1958 8,1949,286.57,440.79,727.36,1958
1958 9,1949,271.33,433.84,705.17,1958
1958 9,1948,255.01,403.03,658.04,1958
1958 10,1948,241.57,388,629.57,1958
1958 10,1947,251.08,391.81,642.89,1958
1958 11,1947,249.23,405.55,654.78,1958
1958 11,1946,230,366.14,596.14,1958
1958 12,1946,256.99,440.64,697.63,1958
1958 12,1945,226.75,379.47,606.22,1958
1958   13,1945,250.05,463.65,713.7,1958
1958   13,1944,256.14,461.41,717.55,1958
1958   14,1944,267.31,539.65,806.96,1958
1958   14,1943,279.28,546.87,826.15,1958
1958   15,1943,304.06,649.13,953.19,1958
1958   15,1942,295.89,640.11,936,1958
1958   16,1942,334.63,758.35,1092.98,1958
1958   16,1941,311.75,713.67,1025.42,1958
1958   17,1941,347.02,820.85,1167.87,1958
1958   17,1940,333.87,798.75,1132.62,1958
1958   18,1940,356.22,872.48,1228.7,1958
1958   18,1939,347.27,859.48,1206.75,1958
1958   19,1939,355.04,895.85,1250.89,1958
1958   19,1938,359.12,913.28,1272.4,1958
1958   20,1938,367.93,971.6,1339.53,1958
1958   20,1937,348.65,882.33,1230.98,1958
1958   21,1937,370.85,981.5,1352.35,1958
1958   21,1936,354.5,896.33,1250.83,1958
1958   22,1936,376.07,972.94,1349.01,1958
1958   22,1935,368.05,910.73,1278.78,1958
1958   23,1935,390.85,966.95,1357.8,1958
1958   23,1934,382.03,904.5,1286.53,1958
1958   24,1934,417.23,966.2,1383.43,1958
1958   24,1933,394.42,874.97,1269.39,1958
1958   25,1933,437.78,942.18,1379.96,1958
1958   25,1932,423.17,859.85,1283.02,1958
1958   26,1932,469.27,936.31,1405.58,1958
1958   26,1931,453.61,854.5,1308.11,1958
1958   27,1931,507.46,949.85,1457.31,1958
1958   27,1930,490.52,866.85,1357.37,1958
1958   28,1930,552.35,982.8,1535.15,1958
1958   28,1929,533.91,896.92,1430.83,1958
1958   29,1929,603.93     1,35.14,1639.07,1958
1958   29,1928,583.78,944.69,1528.47,1958
1958   30,1928,662.26     1,93.82,1756.08,1958
1958   30,1927,638.88     1,18.43,1657.31,1958
1958   31,1927,723.68     1,169.12,1892.8,1958
1958   31,1926,698.13     1,88.55,1786.68,1958
1958   32,1926,788.19     1,248.66,2036.85,1958
1958   32,1925,760.36     1,162.61,1922.97,1958
1958   33,1925,855.77     1,332.44,2188.21,1958
1958   33,1924,825.56     1,240.62,2066.18,1958
1958   34,1924,926.45     1,420.46,2346.91,1958
1958   34,1923,893.74     1,322.57,2216.31,1958
1958   35,1923,994.03     1,487,2481.03,1958
1958   35,1922,970.90     1,438.76,2409.66,1958
1958   36,1922,1069.91     1,595.66,2665.57,1958
1958   36,1921,1045.03     1,543.89,2588.92,1958
1958   37,1921,1148.38     1,722.43,2870.81,1958
1958   37,1920,1121.67     1,666.55,2788.22,1958
1958   38,1920,1229.42     1,867.31,3096.73,1958
1958   38,1919,1200.83     1,806.73,3007.56,1958
1958   39,1919,1313.05     2,30.3,3343.35,1958
1958   39,1918,1282.51     1,964.44,3246.95,1958
1958   40,1918,1401.59     2,188.16,3589.75,1958
1958   40,1917,1367.89     2,161.68,3529.57,1958
1958   41,1917,1501.07     2,381.6,3882.67,1958
1958   41,1916,1464.98     2,352.78,3817.76,1958
1958   42,1916,1613.79     2,589.22,4203.01,1958
1958   42,1915,1574.99     2,557.88,4132.87,1958
1958   43,1915,1739.75     2,811.02,4550.77,1958
1958   43,1914,1697.93     2,777,4474.93,1958
1958   44,1914,1878.96     3,47.01,4925.97,1958
1958   44,1913,1833.78     3,10.14,4843.92,1958
1958   45,1913,2028.88     3,279.34,5308.22,1958
1958   45,1912,1980.89     3,280.07,5260.96,1958
1958   46,1912,2181.75     3,556.89,5738.64,1958
1958   46,1911,2130.15     3,557.69,5687.84,1958
1958   47,1911,2335.09     3,863.36,6198.45,1958
1958   47,1910,2279.86     3,864.23,6144.09,1958
1958   48,1910,2488.88     4,198.75,6687.63,1958
1958   48,1909,2430.01     4,199.69,6629.7,1958
1958   49,1909,2643.13     4,563.07,7206.2,1958
1958   49,1908,2580.62     4,564.09,7144.71,1958
1958   50,1908,2790.90     4,951.34,7742.24,1958
1958   50,1907,2739.10     4,946.51,7685.61,1958
1958   51,1907,2947.15     5,326.15,8273.3,1958
1958   51,1906,2892.45     5,320.96,8213.41,1958
1958   52,1906,3105.33     5,682.31,8787.64,1958
1958   52,1905,3047.69     5,676.77,8724.46,1958
1958   53,1905,3265.45     6,19.81,9285.26,1958
1958   53,1904,3204.84     6,13.94,9218.78,1958
1958   54,1904,3427.51     6,338.65,9766.16,1958
1958   54,1903,3363.89     6,332.47,9696.36,1958
1958   55,1903,3590.36     6,650.53,10240.89,1958
1958   55,1902,3533.60     6,636.08,10169.68,1958
1958   56,1902,3779.16     6,978.53,10757.69,1958
1958   56,1901,3719.41     6,963.37,10682.78,1958
1958   57,1901,3992.98     7,334.17,11327.15,1958
1958   57,1900,3929.85     7,318.23,11248.08,1958
1958   58,1900,4231.84     7,717.45,11949.29,1958
1958   58,1899,4164.93     7,700.68,11865.61,1958
1958   59,1899,4495.72     8,128.36,12624.08,1958
1958   59,1898,4424.65     8,110.7,12535.35,1958
1958   60,1898,4745.04     8,540.71,13285.75,1958
1958   60,1897,4751.04     8,573.44,13324.48,1958
1958   61,1897,5063.65     9,2.33,14065.98,1958
1958   61,1896,5070.06     9,36.82,14106.88,1958
1958   62,1896,5414.41     9,488.32,14902.73,1958
1958   62,1895,5421.26     9,524.68,14945.94,1958
1958   63,1895,5797.33     9,998.69,15796.02,1958
1958   63,1894,5804.67    10,37,15841.67,1958
1958   64,1894,6212.41    10,533.43,16745.84,1958
1958   64,1893,6220.27    10,573.79,16794.06,1958
1958   65,1893,6595.67    11,22.32,17617.99,1958
1958   65,1892,6713.21    11,162.35,17875.56,1958
1958   66,1892,7015.13    11,475.22,18490.35,1958
1958   66,1891,7140.16    11,621.01,18761.17,1958
1958   67,1891,7410.51    11,824.38,19234.89,1958
1958   67,1890,7542.58    11,974.6,19517.18,1958
1958   68,1890,7781.79    12,69.78,19851.57,1958
1958   68,1889,7920.47    12,223.12,20143.59,1958
1958   69,1889,8128.97    12,211.43,20340.4,1958
1958   69,1888,8273.85    12,366.57,20640.42,1958
1958   70,1888,8405.74    12,210.18,20615.92,1958
1958   70,1887,8645.00    12,459.65,21104.65,1958
1958   71,1887,8691.28    12,190.73,20882.01,1958
1958   71,1886,8938.66    12,439.8,21378.46,1958
1958   72,1886,8940.95    12,114.07,21055.02,1958
1958   72,1885,9195.44    12,361.58,21557.02,1958
1958   73,1885,9154.76    11,980.21,21134.97,1958
1958   73,1884,9415.34    12,224.97,21640.31,1958
1958   74,1884,9332.71    11,789.13,21121.84,1958
1958   74,1883,9598.35    12,29.99,21628.34,1958
1958   75,1883,9418.14    11,483.78,20901.92,1958
1958   75,1882,9799.27    11,836.2,21635.47,1958
1958   76,1882,9518.24    11,187.23,20705.47,1958
1958   76,1881,9903.42    11,530.54,21433.96,1958
1958   77,1881,9577.18    10,841.15,20418.33,1958
1958   77,1880,9964.74    11,173.84,21138.58,1958
1958   78,1880,9594.97    10,445.55,20040.52,1958
1958   78,1879,9983.26    10,766.1,20749.36,1958
1958   79,1879,9571.61    10,0.42,19572.03,1958
1958   79,1878,9958.95    10,307.31,20266.26,1958
1958   80,1878,9494.44     9,520.63,19015.07,1958
1958   80,1877,9882.60     9,785.35,19667.95,1958
1958   81,1877,9324.49     8,983.75,18308.24,1958
1958   81,1876,9705.71     9,233.55,18939.26,1958
1958   82,1876,9049.09     8,405.34,17454.43,1958
1958   82,1875,9419.05     8,639.06,18058.11,1958
1958   83,1875,8668.24     7,785.4,16453.64,1958
1958   83,1874,9022.63     8,1.88,17024.51,1958
1958   84,1874,8181.95     7,123.94,15305.89,1958
1958   84,1873,8516.45     7,322.02,15838.47,1958
1958   85,1873,7640.76     6,478.04,14118.8,1958
1958   85,1872,7814.36     6,510.67,14325.03,1958
1958   86,1872,6896.20     5,646.67,12542.87,1958
1958   86,1871,7052.88     5,675.11,12727.99,1958
1958   87,1871,6265.77     4,846.2,11111.97,1958
1958   87,1870,6408.13     4,870.61,11278.74,1958
1958   88,1870,5669.92     4,241.11,9911.03,1958
1958   88,1869,5798.74     4,262.47,10061.21,1958
1958   89,1869,4706.99     3,383.81,8090.8,1958
1958   89,1868,4813.93     3,400.86,8214.79,1958
1958   90,1868,4038.09     2,867.68,6905.77,1958
1958   90,1867,4007.77     2,794.71,6802.48,1958
1958   91,1867,3256.15     2,171.26,5427.41,1958
1958   91,1866,3231.70     2,116.01,5347.71,1958
1958   92,1866,2657.28     1,770.92,4428.2,1958
1958   92,1865,2637.33     1,725.85,4363.18,1958
1958   93,1865,2061.92     1,295.16,3357.08,1958
1958   93,1864,2046.44     1,262.2,3308.64,1958
1958   94,1864,1588.95,943.41,2532.36,1958
1958   94,1863,1577.02,919.4,2496.42,1958
1958   95,1863,1244.13,684.69,1928.82,1958
1958   95,1862,1187.31,635.47,1822.78,1958
1958   96,1862,907.15,524.01,1431.16,1958
1958   96,1861,865.72,486.34,1352.06,1958
1958   97,1861,708.74,390.29,1099.03,1958
1958   97,1860,676.37,362.23,1038.6,1958
1958   98,1860,472.49,259.16,731.65,1958
1958   98,1859,450.92,240.53,691.45,1958
1958   99,1859,298.12,146.68,444.8,1958
1958   99,1858,284.51,136.14,420.65,1958
1958  100,1858,229.18,114.6,343.78,1958
1958  100,1857,201.54,95.27,296.81,1958
1958  101,1857,135.6,51.84,187.44,1958
1958  101,1856,119.24,43.1,162.34,1958
1958  102,1856,93.59,41.48,135.07,1958
1958  102,1855,82.3,34.48,116.78,1958
1958  103,1855,45.73,21.83,67.56,1958
1958  103,1854,40.21,18.15,58.36,1958
1958  104,1854,43.07,19.64,62.71,1958
1958  104,1853,37.88,16.33,54.21,1958
1958  105,1853,34.03,14.19,48.22,1958
1958  105,1852,29.93,11.79,41.72,1958
1958  106,1852,23.4,9.28,32.68,1958
1958  106,1851,20.57,7.71,28.28,1958
1958  107,1851,12.76,9.28,22.04,1958
1958  107,1850,11.22,7.71,18.93,1958
1958  108,1850,12.23,9.82,22.05,1958
1958  108,1849,10.75,8.17,18.92,1958
1958  109,1849,9.04,3.27,12.31,1958
1958  109,1848,7.95,2.72,10.67,1958
1958  110+,.,43.99,33,76.99,1958
1959    0,1959,41662.92    57,126.05,98788.97,1959
1959    0,1958,6239.51     7,440.4,13679.91,1959
1959 1,1958,1587.11     1,851.64,3438.75,1959
1959 1,1957,1661.28     1,985.29,3646.57,1959
1959 2,1957,924.32     1,159.95,2084.27,1959
1959 2,1956,932.47     1,263.26,2195.73,1959
1959 3,1956,685.52,877.57,1563.09,1959
1959 3,1955,696.07,873.31,1569.38,1959
1959 4,1955,592.7,739.03,1331.73,1959
1959 4,1954,603.81,742.71,1346.52,1959
1959 5,1954,486.27,663.21,1149.48,1959
1959 5,1953,516.16,657.45,1173.61,1959
1959 6,1953,411.5,588.28,999.78,1959
1959 6,1952,443.87,571.31,1015.18,1959
1959 7,1952,358.65,509.07,867.72,1959
1959 7,1951,361.65,519.45,881.1,1959
1959 8,1951,291.44,477.93,769.37,1959
1959 8,1950,281.8,462.54,744.34,1959
1959 9,1950,277.22,445.64,722.86,1959
1959 9,1949,286.02,454.81,740.83,1959
1959 10,1949,246.84,454.61,701.45,1959
1959 10,1948,264.38,443.84,708.22,1959
1959 11,1948,248.87,458.76,707.63,1959
1959 11,1947,277.36,459.7,737.06,1959
1959 12,1947,294.71,526.23,820.94,1959
1959 12,1946,304.55,493.28,797.83,1959
1959   13,1946,222.27,478.42,700.69,1959
1959   13,1945,225.92,443.04,668.96,1959
1959   14,1945,258.84,530.34,789.18,1959
1959   14,1944,267.38,520.19,787.57,1959
1959   15,1944,332.95,650.46,983.41,1959
1959   15,1943,316.32,672.21,988.53,1959
1959   16,1943,365.15,861.68,1226.83,1959
1959   16,1942,350.16,805.15,1155.31,1959
1959   17,1942,360.08,934.21,1294.29,1959
1959   17,1941,350.22,868.7,1218.92,1959
1959   18,1941,371.01,937.68,1308.69,1959
1959   18,1940,354.3,904.24,1258.54,1959
1959   19,1940,368.76,949.51,1318.27,1959
1959   19,1939,345.55,868.41,1213.96,1959
1959   20,1939,402.53,992.63,1395.16,1959
1959   20,1938,384.8,953.35,1338.15,1959
1959   21,1938,361.91     1,76.55,1438.46,1959
1959   21,1937,366.4,997.49,1363.89,1959
1959   22,1937,398.37,988.27,1386.64,1959
1959   22,1936,377.96,942.7,1320.66,1959
1959   23,1936,376.27,938.85,1315.12,1959
1959   23,1935,371.05,865.05,1236.1,1959
1959   24,1935,440.37,891.67,1332.04,1959
1959   24,1934,406.99,862.21,1269.2,1959
1959   25,1934,460.56,925.28,1385.84,1959
1959   25,1933,429.82,868.62,1298.44,1959
1959   26,1933,457.93,905.37,1363.3,1959
1959   26,1932,465.47,890.53,1356,1959
1959   27,1932,447.82,938.48,1386.3,1959
1959   27,1931,475.57,888.44,1364.01,1959
1959   28,1931,507.15,958.65,1465.8,1959
1959   28,1930,524.29,899.28,1423.57,1959
1959   29,1930,587.75,959.26,1547.01,1959
1959   29,1929,552.74,982.71,1535.45,1959
1959   30,1929,620.62     1,84.34,1704.96,1959
1959   30,1928,606.90     1,56.73,1663.63,1959
1959   31,1928,694.74     1,134.29,1829.03,1959
1959   31,1927,705.86     1,94.83,1800.69,1959
1959   32,1927,804.42     1,224.06,2028.48,1959
1959   32,1926,787.26     1,154.14,1941.4,1959
1959   33,1926,855.95     1,222.15,2078.1,1959
1959   33,1925,839.78     1,315.12,2154.9,1959
1959   34,1925,903.56     1,401.52,2305.08,1959
1959   34,1924,893.21     1,384.88,2278.09,1959
1959   35,1924,926.85     1,496.39,2423.24,1959
1959   35,1923,951.96     1,457.09,2409.05,1959
1959   36,1923,1034.78     1,592.87,2627.65,1959
1959   36,1922,1050.11     1,544.71,2594.82,1959
1959   37,1922,1082.17     1,697.32,2779.49,1959
1959   37,1921,1087.75     1,724.4,2812.15,1959
1959   38,1921,1253.64     1,924.1,3177.74,1959
1959   38,1920,1265.43     1,831.79,3097.22,1959
1959   39,1920,1348.13     1,996.25,3344.38,1959
1959   39,1919,1323.01     1,994.75,3317.76,1959
1959   40,1919,1398.79     2,157.1,3555.89,1959
1959   40,1918,1447.43     2,225.1,3672.53,1959
1959   41,1918,1429.65     2,188.77,3618.42,1959
1959   41,1917,1465.59     2,171.42,3637.01,1959
1959   42,1917,1607.56     2,596.89,4204.45,1959
1959   42,1916,1588.81     2,578.72,4167.53,1959
1959   43,1916,1686.52     2,790.48,4477,1959
1959   43,1915,1698.92     2,793.32,4492.24,1959
1959   44,1915,1845.64     3,57.68,4903.32,1959
1959   44,1914,1811.92     3,155.45,4967.37,1959
1959   45,1914,1983.24     3,396.55,5379.79,1959
1959   45,1913,1974.45     3,358.85,5333.3,1959
1959   46,1913,2119.23     3,544.57,5663.8,1959
1959   46,1912,2098.57     3,625.03,5723.6,1959
1959   47,1912,2250.63     3,994.8,6245.43,1959
1959   47,1911,2226.28     3,933.19,6159.47,1959
1959   48,1911,2470.78     4,281.51,6752.29,1959
1959   48,1910,2560.36     4,360.83,6921.19,1959
1959   49,1910,2619.57     4,681.95,7301.52,1959
1959   49,1909,2589.65     4,663.74,7253.39,1959
1959   50,1909,2781.48     4,967.98,7749.46,1959
1959   50,1908,2791.90     5,27.05,7818.95,1959
1959   51,1908,2746.92     5,229.51,7976.43,1959
1959   51,1907,2811.45     5,323.8,8135.25,1959
1959   52,1907,3095.54     5,807.15,8902.69,1959
1959   52,1906,3167.13     5,805.69,8972.82,1959
1959   53,1906,3150.34     6,96.15,9246.49,1959
1959   53,1905,3194.36     6,149,9343.36,1959
1959   54,1905,3418.04     6,322.88,9740.92,1959
1959   54,1904,3451.89     6,462.55,9914.44,1959
1959   55,1904,3360.56     6,655.26,10015.82,1959
1959   55,1903,3443.34     6,724.46,10167.8,1959
1959   56,1903,3571.77     6,884.75,10456.52,1959
1959   56,1902,3614.29     6,996.23,10610.52,1959
1959   57,1902,3645.67     7,2.28,10647.95,1959
1959   57,1901,3655.45     7,0.76,10656.21,1959
1959   58,1901,4281.28     7,799.79,12081.07,1959
1959   58,1900,4996.68     8,709.51,13706.19,1959
1959   59,1900,4965.22     8,975.39,13940.61,1959
1959   59,1899,4546.84     8,422.35,12969.19,1959
1959   60,1899,4496.13     8,197.31,12693.44,1959
1959   60,1898,4757.82     8,698.18,13456,1959
1959   61,1898,4606.09     8,549.15,13155.24,1959
1959   61,1897,4679.87     8,593.47,13273.34,1959
1959   62,1897,5388.05     9,266.25,14654.3,1959
1959   62,1896,5680.67     9,767.32,15447.99,1959
1959   63,1896,5932.12    10,180.99,16113.11,1959
1959   63,1895,6014.98    10,309.31,16324.29,1959
1959   64,1895,6052.49    10,479.71,16532.2,1959
1959   64,1894,6159.72    10,666.92,16826.64,1959
1959   65,1894,6863.65    11,345.65,18209.3,1959
1959   65,1893,6975.26    11,565.86,18541.12,1959
1959   66,1893,6555.02    11,236.53,17791.55,1959
1959   66,1892,6918.73    11,623.96,18542.69,1959
1959   67,1892,7351.56    12,64.23,19415.79,1959
1959   67,1891,7519.79    11,851.79,19371.58,1959
1959   68,1891,7573.11    11,596.43,19169.54,1959
1959   68,1890,8041.55    11,976.42,20017.97,1959
1959   69,1890,8167.91    12,97.38,20265.29,1959
1959   69,1889,8207.07    12,394.93,20602,1959
1959   70,1889,8630.63    12,557.54,21188.17,1959
1959   70,1888,9164.96    13,57.33,22222.29,1959
1959   71,1888,8309.56    12,315.68,20625.24,1959
1959   71,1887,8223.49    11,990.54,20214.03,1959
1959   72,1887,8815.45    12,44.54,20859.99,1959
1959   72,1886,9334.29    12,623.85,21958.14,1959
1959   73,1886,9198.27    12,107.59,21305.86,1959
1959   73,1885,9497.70    12,332.69,21830.39,1959
1959   74,1885,9551.37    12,310.14,21861.51,1959
1959   74,1884,9993.96    12,648.41,22642.37,1959
1959   75,1884,10198.45    12,112.37,22310.82,1959
1959   75,1883,10244.27    12,318.91,22563.18,1959
1959   76,1883,9668.00    11,277,20945,1959
1959   76,1882,9959.37    11,685.54,21644.91,1959
1959   77,1882,9377.75    10,814.17,20191.92,1959
1959   77,1881,9552.33    10,896.74,20449.07,1959
1959   78,1881,9735.53    10,432.26,20167.79,1959
1959   78,1880,10272.00    11,158.59,21430.59,1959
1959   79,1880,10098.14    10,451.15,20549.29,1959
1959   79,1879,10219.53    10,491.37,20710.9,1959
1959   80,1879,9653.81     9,507.45,19161.26,1959
1959   80,1878,10132.63     9,822.27,19954.9,1959
1959   81,1878,8785.20     8,595.99,17381.19,1959
1959   81,1877,9186.47     8,939.82,18126.29,1959
1959   82,1877,9026.67     8,390.45,17417.12,1959
1959   82,1876,9632.29     8,913.25,18545.54,1959
1959   83,1876,9115.92     7,991.77,17107.69,1959
1959   83,1875,9569.05     8,328.44,17897.49,1959
1959   84,1875,8557.53     7,360.13,15917.66,1959
1959   84,1874,8898.92     7,544.36,16443.28,1959
1959   85,1874,7898.77     6,304.08,14202.85,1959
1959   85,1873,7942.99     6,529.37,14472.36,1959
1959   86,1873,7012.32     5,557.6,12569.92,1959
1959   86,1872,7410.83     6,73.24,13484.07,1959
1959   87,1872,6458.95     5,62.24,11521.19,1959
1959   87,1871,6530.60     5,66.85,11597.45,1959
1959   88,1871,5395.40     4,75.54,9470.94,1959
1959   88,1870,5927.43     4,397.72,10325.15,1959
1959   89,1870,5025.36     3,695.9,8721.26,1959
1959   89,1869,5158.98     3,646.79,8805.77,1959
1959   90,1869,4173.40     2,821.37,6994.77,1959
1959   90,1868,4351.24     2,925.52,7276.76,1959
1959   91,1868,3179.07     2,93.91,5272.98,1959
1959   91,1867,3259.68     2,215.25,5474.93,1959
1959   92,1867,2764.60     1,695.7,4460.3,1959
1959   92,1866,2879.81     1,792.05,4671.86,1959
1959   93,1866,2204.49     1,377.34,3581.83,1959
1959   93,1865,2244.41     1,362.03,3606.44,1959
1959   94,1865,1667.47,976.82,2644.29,1959
1959   94,1864,1712.97,990.17,2703.14,1959
1959   95,1864,1172.14,641.1,1813.24,1959
1959   95,1863,1196.87,664.55,1861.42,1959
1959   96,1863,864.78,470.34,1335.12,1959
1959   96,1862,915.98,505.15,1421.13,1959
1959   97,1862,655.78,349.54,1005.32,1959
1959   97,1861,680.79,397.84,1078.63,1959
1959   98,1861,489.67,245.71,735.38,1959
1959   98,1860,519.76,274.55,794.31,1959
1959   99,1860,332.41,157.91,490.32,1959
1959   99,1859,344.88,154.25,499.13,1959
1959  100,1859,194.93,102.73,297.66,1959
1959  100,1858,209.24,115.38,324.62,1959
1959  101,1858,106.96,53.15,160.11,1959
1959  101,1857,127.14,52.91,180.05,1959
1959  102,1857,76.5,31.53,108.03,1959
1959  102,1856,89.57,36.51,126.08,1959
1959  103,1856,57.86,24.15,82.01,1959
1959  103,1855,64.19,29.88,94.07,1959
1959  104,1855,27.73,13.56,41.29,1959
1959  104,1854,45.3,17.46,62.76,1959
1959  105,1854,24.72,8.36,33.08,1959
1959  105,1853,24.3,9.64,33.94,1959
1959  106,1853,24.5,9.59,34.09,1959
1959  106,1852,23.52,9.41,32.93,1959
1959  107,1852,12.9,8.25,21.15,1959
1959  107,1851,16.12,10.76,26.88,1959
1959  108,1851,8.44,2.98,11.42,1959
1959  108,1850,10.56,7.02,17.58,1959
1959  109,1850,6.96,1.03,7.99,1959
1959  109,1849,7.04,1.97,9.01,1959
1959  110+,.,55,26,81,1959
1960    0,1960,41170.88    56,608.97,97779.85,1960
1960    0,1959,5784.23     7,355.68,13139.91,1960
1960 1,1959,1582.39     1,892.82,3475.21,1960
1960 1,1958,1719.88     2,57.95,3777.83,1960
1960 2,1958,925.11     1,219.89,2145,1960
1960 2,1957,968.62     1,220.21,2188.83,1960
1960 3,1957,711.2,953.83,1665.03,1960
1960 3,1956,744.36,968.03,1712.39,1960
1960 4,1956,570.35,749.59,1319.94,1960
1960 4,1955,619.11,786.1,1405.21,1960
1960 5,1955,502.59,607.9,1110.49,1960
1960 5,1954,515.8,662.67,1178.47,1960
1960 6,1954,398.82,598.86,997.68,1960
1960 6,1953,454.51,598.68,1053.19,1960
1960 7,1953,349.37,534.83,884.2,1960
1960 7,1952,379.91,535.65,915.56,1960
1960 8,1952,309.99,489.25,799.24,1960
1960 8,1951,328.26,482.19,810.45,1960
1960 9,1951,278.59,432.62,711.21,1960
1960 9,1950,296.63,409.75,706.38,1960
1960 10,1950,235.38,405.43,640.81,1960
1960 10,1949,240.8,414.94,655.74,1960
1960 11,1949,275.82,445.17,720.99,1960
1960 11,1948,260.39,423.22,683.61,1960
1960 12,1948,266.54,456.67,723.21,1960
1960 12,1947,278.67,434.72,713.39,1960
1960   13,1947,303.81,553.4,857.21,1960
1960   13,1946,295.42,528.09,823.51,1960
1960   14,1946,264.25,542.4,806.65,1960
1960   14,1945,265.95,486.06,752.01,1960
1960   15,1945,274.72,607.63,882.35,1960
1960   15,1944,293.5,570.9,864.4,1960
1960   16,1944,325.73,773.67,1099.4,1960
1960   16,1943,328.53,781.03,1109.56,1960
1960   17,1943,393.74,998.85,1392.59,1960
1960   17,1942,409.57,880.99,1290.56,1960
1960   18,1942,376.61     1,46.43,1423.04,1960
1960   18,1941,381.69,973.48,1355.17,1960
1960   19,1941,402.02     1,49.6,1451.62,1960
1960   19,1940,371.28,950.3,1321.58,1960
1960   20,1940,371.68     1,49.22,1420.9,1960
1960   20,1939,357.6,938.67,1296.27,1960
1960   21,1939,417.76     1,32.47,1450.23,1960
1960   21,1938,411.56,972.43,1383.99,1960
1960   22,1938,381.11,980.11,1361.22,1960
1960   22,1937,357.18,944.75,1301.93,1960
1960   23,1937,362.91,902.38,1265.29,1960
1960   23,1936,388.38,859.4,1247.78,1960
1960   24,1936,418.09,913,1331.09,1960
1960   24,1935,406.23,888.81,1295.04,1960
1960   25,1935,420.89,972.11,1393,1960
1960   25,1934,448.44,935.75,1384.19,1960
1960   26,1934,475.72,886.03,1361.75,1960
1960   26,1933,473.64,898.77,1372.41,1960
1960   27,1933,462.72,897.11,1359.83,1960
1960   27,1932,485.65,905.7,1391.35,1960
1960   28,1932,521.39,949.06,1470.45,1960
1960   28,1931,517.01,878.76,1395.77,1960
